Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,164.000000,165.660004,161.669998,163.309998,163.309998,1494300
2018-04-30,164.190002,164.940002,162.399994,163.059998,163.059998,1143100
2018-05-01,162.500000,163.270004,160.759995,163.139999,163.139999,1620600
2018-05-02,162.850006,164.759995,161.669998,162.600006,162.600006,1167000
2018-05-03,162.449997,165.039993,160.860001,164.130005,164.130005,1206200
2018-05-04,163.210007,167.360001,163.179993,166.100006,166.100006,1024500
2018-05-07,166.589996,169.199997,165.850006,168.759995,168.759995,1538200
2018-05-08,167.279999,168.729996,166.710007,168.600006,168.600006,1557500
2018-05-09,168.759995,171.160004,167.009995,171.160004,171.160004,1612000
2018-05-10,172.000000,173.270004,171.039993,171.479996,171.479996,1673400
2018-05-11,171.669998,172.660004,170.809998,172.470001,172.470001,1235300
2018-05-14,172.490005,173.580002,163.789993,164.750000,164.750000,2879600
2018-05-15,164.160004,164.820007,162.509995,163.559998,163.559998,2947300
2018-05-16,164.029999,164.169998,161.149994,161.960007,161.960007,2074700
2018-05-17,161.360001,161.970001,159.619995,161.080002,161.080002,1521800
2018-05-18,160.910004,163.860001,160.910004,163.279999,163.279999,1835200
2018-05-21,164.660004,165.389999,162.330002,162.990005,162.990005,1304900
2018-05-22,163.960007,164.720001,161.029999,161.410004,161.410004,1609100
2018-05-23,160.220001,164.289993,160.009995,164.259995,164.259995,1419900
2018-05-24,164.199997,165.470001,163.059998,165.089996,165.089996,1284400
2018-05-25,165.270004,166.399994,164.830002,165.100006,165.100006,1171000
