Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,97.599998,97.900002,93.910004,95.820000,95.406471,48272800
2018-04-30,96.330002,96.400002,93.150002,93.519997,93.116394,41523600
2018-05-01,93.209999,95.290001,92.790001,95.000000,94.590012,31408900
2018-05-02,94.989998,95.169998,93.190002,93.510002,93.106445,27471000
2018-05-03,92.959999,94.930000,92.449997,94.070000,93.664024,31142500
2018-05-04,93.320000,95.370003,92.919998,95.160004,94.749321,22531300
2018-05-07,95.169998,96.709999,95.099998,96.220001,95.804749,24242000
2018-05-08,95.849998,96.160004,95.059998,95.809998,95.396515,23484600
2018-05-09,96.010002,96.970001,95.050003,96.940002,96.521645,27327400
2018-05-10,97.459999,97.949997,97.050003,97.910004,97.487457,22388100
2018-05-11,97.800003,97.870003,97.040001,97.699997,97.278358,16778300
2018-05-14,97.919998,98.690002,97.309998,98.029999,97.606934,19454100
2018-05-15,97.239998,97.849998,96.339996,97.320000,96.900002,24594000
2018-05-16,97.360001,97.400002,96.620003,97.150002,97.150002,17384700
2018-05-17,96.760002,97.540001,95.830002,96.180000,96.180000,17246700
2018-05-18,96.010002,96.930000,96.010002,96.360001,96.360001,17865800
2018-05-21,97.000000,98.010002,96.800003,97.599998,97.599998,19422500
2018-05-22,97.680000,98.169998,97.199997,97.500000,97.500000,15441200
2018-05-23,96.709999,98.730003,96.320000,98.660004,98.660004,21114800
2018-05-24,98.730003,98.940002,96.809998,98.309998,98.309998,26649300
2018-05-25,98.300003,98.980003,97.860001,98.360001,98.360001,17891700
