Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,26.690001,27.180000,26.690001,26.850000,26.771278,173600
2018-04-30,26.770000,26.950001,25.889999,26.030001,25.953682,151500
2018-05-01,26.010000,26.320000,25.450001,26.270000,26.192978,164900
2018-05-02,26.240000,26.430000,26.040001,26.270000,26.192978,118200
2018-05-03,26.110001,26.240000,25.660000,25.680000,25.604708,712600
2018-05-04,25.690001,26.190001,25.580000,26.080000,26.003534,199000
2018-05-07,26.049999,26.490000,25.770000,26.059999,25.983593,58800
2018-05-08,26.020000,26.120001,25.760000,25.889999,25.814091,64000
2018-05-09,25.860001,25.980000,25.709999,25.730000,25.654560,93100
2018-05-10,25.709999,25.709999,25.360001,25.580000,25.505001,140900
2018-05-11,25.389999,25.719999,25.370001,25.700001,25.700001,90800
2018-05-14,25.700001,25.790001,25.469999,25.540001,25.540001,106100
2018-05-15,25.480000,25.559999,25.299999,25.330000,25.330000,96700
2018-05-16,25.360001,25.610001,25.180000,25.549999,25.549999,149600
2018-05-17,25.549999,25.639999,25.340000,25.480000,25.480000,79800
2018-05-18,25.400000,25.670000,25.330000,25.549999,25.549999,124300
2018-05-21,25.590000,25.760000,25.360001,25.629999,25.629999,108100
2018-05-22,25.660000,25.660000,25.350000,25.360001,25.360001,179200
2018-05-23,25.370001,25.440001,25.020000,25.170000,25.170000,76300
2018-05-24,25.100000,25.139999,24.850000,25.000000,25.000000,121800
2018-05-25,25.000000,25.270000,25.000000,25.160000,25.160000,83600
